"orderid","productid","unitprice","quantity","discount"
10248,11,"14.00000",12,"0.00000"
10248,42,"9.80000",10,"0.00000"
10248,72,"34.80000",5,"0.00000"
10249,14,"18.60000",9,"0.00000"
10249,51,"42.40000",40,"0.00000"
10250,41,"7.70000",10,"0.00000"
10250,51,"42.40000",35,"0.15000"
10250,65,"16.80000",15,"0.15000"
10251,22,"16.80000",6,"0.05000"
10251,57,"15.60000",15,"0.05000"
10251,65,"16.80000",20,"0.00000"
10252,20,"64.80000",40,"0.05000"
10252,33,"2.00000",25,"0.05000"
10252,60,"27.20000",40,"0.00000"
10253,31,"10.00000",20,"0.00000"
10253,39,"14.40000",42,"0.00000"
10253,49,"16.00000",40,"0.00000"
10254,24,"3.60000",15,"0.15000"
10254,55,"19.20000",21,"0.15000"
10254,74,"8.00000",21,"0.00000"
10255,2,"15.20000",20,"0.00000"
10255,16,"13.90000",35,"0.00000"
10255,36,"15.20000",25,"0.00000"
10255,59,"44.00000",30,"0.00000"
10256,53,"26.20000",15,"0.00000"
10256,77,"10.40000",12,"0.00000"
10257,27,"35.10000",25,"0.00000"
10257,39,"14.40000",6,"0.00000"
10257,77,"10.40000",15,"0.00000"
10258,2,"15.20000",50,"0.20000"
10258,5,"17.00000",65,"0.20000"
10258,32,"25.60000",6,"0.20000"
10259,21,"8.00000",10,"0.00000"
10259,37,"20.80000",1,"0.00000"
10260,41,"7.70000",16,"0.25000"
10260,57,"15.60000",50,"0.00000"
10260,62,"39.40000",15,"0.25000"
10260,70,"12.00000",21,"0.25000"
10261,21,"8.00000",20,"0.00000"
10261,35,"14.40000",20,"0.00000"
10262,5,"17.00000",12,"0.20000"
10262,7,"24.00000",15,"0.00000"
10262,56,"30.40000",2,"0.00000"
10263,16,"13.90000",60,"0.25000"
10263,24,"3.60000",28,"0.00000"
10263,30,"20.70000",60,"0.25000"
10263,74,"8.00000",36,"0.25000"
10264,2,"15.20000",35,"0.00000"
10264,41,"7.70000",25,"0.15000"
10265,17,"31.20000",30,"0.00000"
10265,70,"12.00000",20,"0.00000"
10266,12,"30.40000",12,"0.05000"
10267,40,"14.70000",50,"0.00000"
10267,59,"44.00000",70,"0.15000"
10267,76,"14.40000",15,"0.15000"
10268,29,"99.00000",10,"0.00000"
10268,72,"27.80000",4,"0.00000"
10269,33,"2.00000",60,"0.05000"
10269,72,"27.80000",20,"0.05000"
10270,36,"15.20000",30,"0.00000"
10270,43,"36.80000",25,"0.00000"
10271,33,"2.00000",24,"0.00000"
10272,20,"64.80000",6,"0.00000"
10272,31,"10.00000",40,"0.00000"
10272,72,"27.80000",24,"0.00000"
10273,10,"24.80000",24,"0.05000"
10273,31,"10.00000",15,"0.05000"
10273,33,"2.00000",20,"0.00000"
10273,40,"14.70000",60,"0.05000"
10273,76,"14.40000",33,"0.05000"
10274,71,"17.20000",20,"0.00000"
10274,72,"27.80000",7,"0.00000"
10275,24,"3.60000",12,"0.05000"
10275,59,"44.00000",6,"0.05000"
10276,10,"24.80000",15,"0.00000"
10276,13,"4.80000",10,"0.00000"
10277,28,"36.40000",20,"0.00000"
10277,62,"39.40000",12,"0.00000"
10278,44,"15.50000",16,"0.00000"
10278,59,"44.00000",15,"0.00000"
10278,63,"35.10000",8,"0.00000"
10278,73,"12.00000",25,"0.00000"
10279,17,"31.20000",15,"0.25000"
10280,24,"3.60000",12,"0.00000"
10280,55,"19.20000",20,"0.00000"
10280,75,"6.20000",30,"0.00000"
10281,19,"7.30000",1,"0.00000"
10281,24,"3.60000",6,"0.00000"
10281,35,"14.40000",4,"0.00000"
10282,30,"20.70000",6,"0.00000"
10282,57,"15.60000",2,"0.00000"
10283,15,"12.40000",20,"0.00000"
10283,19,"7.30000",18,"0.00000"
10283,60,"27.20000",35,"0.00000"
10283,72,"27.80000",3,"0.00000"
