"orderid","customerid","employeeid","orderdate","requireddate","shippeddate","shipperid","freight"
10248,"VINET",5,"2013-07-04","2013-08-01","2013-07-16",3,"32.38000"
10249,"TOMSP",6,"2013-07-05","2013-08-16","2013-07-10",1,"11.61000"
10250,"HANAR",4,"2013-07-08","2013-08-05","2013-07-12",2,"65.83000"
10251,"VICTE",3,"2013-07-08","2013-08-05","2013-07-15",1,"41.34000"
10252,"SUPRD",4,"2013-07-09","2013-08-06","2013-07-11",2,"51.30000"
10253,"HANAR",3,"2013-07-10","2013-07-24","2013-07-16",2,"58.17000"
10254,"CHOPS",5,"2013-07-11","2013-08-08","2013-07-23",2,"22.98000"
10255,"RICSU",9,"2013-07-12","2013-08-09","2013-07-15",3,"148.33000"
10256,"WELLI",3,"2013-07-15","2013-08-12","2013-07-17",2,"13.97000"
10257,"HILAA",4,"2013-07-16","2013-08-13","2013-07-22",3,"81.91000"
10258,"ERNSH",1,"2013-07-17","2013-08-14","2013-07-23",1,"140.51000"
10259,"CENTC",4,"2013-07-18","2013-08-15","2013-07-25",3,"3.25000"
10260,"OTTIK",4,"2013-07-19","2013-08-16","2013-07-29",1,"55.09000"
10261,"QUEDE",4,"2013-07-19","2013-08-16","2013-07-30",2,"3.05000"
10262,"RATTC",8,"2013-07-22","2013-08-19","2013-07-25",3,"48.29000"
10263,"ERNSH",9,"2013-07-23","2013-08-20","2013-07-31",3,"146.06000"
10264,"FOLKO",6,"2013-07-24","2013-08-21","2013-08-23",3,"3.67000"
10265,"BLONP",2,"2013-07-25","2013-08-22","2013-08-12",1,"55.28000"
10266,"WARTH",3,"2013-07-26","2013-09-06","2013-07-31",3,"25.73000"
10267,"FRANK",4,"2013-07-29","2013-08-26","2013-08-06",1,"208.58000"
10268,"GROSR",8,"2013-07-30","2013-08-27","2013-08-02",3,"66.29000"
10269,"WHITC",5,"2013-07-31","2013-08-14","2013-08-09",1,"4.56000"
10270,"WARTH",1,"2013-08-01","2013-08-29","2013-08-02",1,"136.54000"
10271,"SPLIR",6,"2013-08-01","2013-08-29","2013-08-30",2,"4.54000"
10272,"RATTC",6,"2013-08-02","2013-08-30","2013-08-06",2,"98.03000"
10273,"QUICK",3,"2013-08-05","2013-09-02","2013-08-12",3,"76.07000"
10274,"VINET",6,"2013-08-06","2013-09-03","2013-08-16",1,"6.01000"
10275,"MAGAA",1,"2013-08-07","2013-09-04","2013-08-09",1,"26.93000"
10276,"TORTU",8,"2013-08-08","2013-08-22","2013-08-14",3,"13.84000"
10277,"MORGK",2,"2013-08-09","2013-09-06","2013-08-13",3,"125.77000"
10278,"BERGS",8,"2013-08-12","2013-09-09","2013-08-16",2,"92.69000"
10279,"LEHMS",8,"2013-08-13","2013-09-10","2013-08-16",2,"25.83000"
10280,"BERGS",2,"2013-08-14","2013-09-11","2013-09-12",1,"8.98000"
10281,"ROMEY",4,"2013-08-14","2013-08-28","2013-08-21",1,"2.94000"
10282,"ROMEY",4,"2013-08-15","2013-09-12","2013-08-21",1,"12.69000"
10283,"LILAS",3,"2013-08-16","2013-09-13","2013-08-23",3,"84.81000"
10284,"LEHMS",4,"2013-08-19","2013-09-16","2013-08-27",1,"76.56000"
10285,"QUICK",1,"2013-08-20","2013-09-17","2013-08-26",2,"76.83000"
10286,"QUICK",8,"2013-08-21","2013-09-18","2013-08-30",3,"229.24000"
10287,"RICAR",8,"2013-08-22","2013-09-19","2013-08-28",3,"12.76000"
10288,"REGGC",4,"2013-08-23","2013-09-20","2013-09-03",1,"7.45000"
10289,"BSBEV",7,"2013-08-26","2013-09-23","2013-08-28",3,"22.77000"
10290,"COMMI",8,"2013-08-27","2013-09-24","2013-09-03",1,"79.70000"
10291,"QUEDE",6,"2013-08-27","2013-09-24","2013-09-04",2,"6.40000"
10292,"TRADH",1,"2013-08-28","2013-09-25","2013-09-02",2,"1.35000"
10293,"TORTU",1,"2013-08-29","2013-09-26","2013-09-11",3,"21.18000"
10294,"RATTC",4,"2013-08-30","2013-09-27","2013-09-05",2,"147.26000"
10295,"VINET",2,"2013-09-02","2013-09-30","2013-09-10",2,"1.15000"
10296,"LILAS",6,"2013-09-03","2013-10-01","2013-09-11",1,"0.12000"
10297,"BLONP",5,"2013-09-04","2013-10-16","2013-09-10",2,"5.74000"
10298,"HUNGO",6,"2013-09-05","2013-10-03","2013-09-11",2,"168.22000"
10299,"RICAR",4,"2013-09-06","2013-10-04","2013-09-13",2,"29.76000"
10300,"MAGAA",2,"2013-09-09","2013-10-07","2013-09-18",2,"17.68000"
10301,"WANDK",8,"2013-09-09","2013-10-07","2013-09-17",2,"45.08000"
10302,"SUPRD",4,"2013-09-10","2013-10-08","2013-10-09",2,"6.27000"
10303,"GODOS",7,"2013-09-11","2013-10-09","2013-09-18",2,"107.83000"
10304,"TORTU",1,"2013-09-12","2013-10-10","2013-09-17",2,"63.79000"
10305,"OLDWO",8,"2013-09-13","2013-10-11","2013-10-09",3,"257.62000"
10306,"ROMEY",1,"2013-09-16","2013-10-14","2013-09-23",3,"7.56000"
10307,"LONEP",2,"2013-09-17","2013-10-15","2013-09-25",2,"0.56000"
10308,"ANATR",7,"2013-09-18","2013-10-16","2013-09-24",3,"1.61000"
10309,"HUNGO",3,"2013-09-19","2013-10-17","2013-10-23",1,"47.30000"
10310,"THEBI",8,"2013-09-20","2013-10-18","2013-09-27",2,"17.52000"
10311,"DUMON",1,"2013-09-20","2013-10-04","2013-09-26",3,"24.69000"
10312,"WANDK",2,"2013-09-23","2013-10-21","2013-10-03",2,"40.26000"
10313,"QUICK",2,"2013-09-24","2013-10-22","2013-10-04",2,"1.96000"
10314,"RATTC",1,"2013-09-25","2013-10-23","2013-10-04",2,"74.16000"
10315,"ISLAT",4,"2013-09-26","2013-10-24","2013-10-03",2,"41.76000"
10316,"RATTC",1,"2013-09-27","2013-10-25","2013-10-08",3,"150.15000"
10317,"LONEP",6,"2013-09-30","2013-10-28","2013-10-10",1,"12.69000"
10318,"ISLAT",8,"2013-10-01","2013-10-29","2013-10-04",2,"4.73000"
